model,dataset,latent_dim,epochs,steps,MPJPE_mm,PA_MPJPE_mm,ACCL_mm_s2
klvae_t2m_ld64,idea400,64,12345,1000000,23.4287,14.9095,7.6137
klvae_xmo_ld64,idea400,64,1029,1000000,22.7307,13.3846,7.6790
klvae_hml3dxmo_ld64,idea400,64,949,1000000,17.1128,10.9111,7.5600
klvae_idea400_ld64,idea400,64,25641,1000000,7.0109,4.7380,3.8668
klvae_xmoI400_ld64,idea400,64,989,1000000,11.0054,6.7447,6.4490
klvae_hml3dI400_ld64,idea400,64,8264,1000000,8.3518,5.3128,4.4770
klvae_hml3dxmoI400_ld64,idea400,64,914,1000000,12.3302,6.3510,6.9904
klvae_t2m_ld64,t2m,64,12345,1000000,10.2339,6.6523,3.6493
klvae_xmo_ld64,t2m,64,1029,1000000,29.9181,18.7505,5.7080
klvae_hml3dxmo_ld64,t2m,64,949,1000000,12.3961,7.7662,4.3938
klvae_idea400_ld64,t2m,64,25641,1000000,121.0355,98.0343,15.1267
klvae_xmoI400_ld64,t2m,64,989,1000000,25.1663,16.9975,5.4974
klvae_hml3dI400_ld64,t2m,64,8264,1000000,10.2160,6.5476,3.6425
klvae_hml3dxmoI400_ld64,t2m,64,914,1000000,12.9153,7.5853,4.3701
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
klvae_t2m_ld256,idea400,256,12345,1000000,18.9153,12.2812,6.9719
klvae_xmo_ld256,idea400,256,1029,1000000,20.8731,12.9163,6.3797
klvae_hml3dxmo_ld256,idea400,256,949,1000000,16.6262,10.5014,6.1950
klvae_idea400_ld256,idea400,256,25641,1000000,6.5216,4.1787,3.1247
klvae_xmoI400_ld256,idea400,256,989,1000000,8.8904,5.4765,4.4071
klvae_hml3dI400_ld256,idea400,256,8264,1000000,12.6097,7.5191,5.8172
klvae_hml3dxmoI400_ld256,idea400,256,914,1000000,8.7741,5.2517,4.9663
klvae_t2m_ld256,t2m,256,12345,1000000,8.3253,5.1792,3.0424
klvae_xmo_ld256,t2m,256,1029,1000000,25.3957,16.1979,5.3671
klvae_hml3dxmo_ld256,t2m,256,949,1000000,9.9187,6.4221,3.7504
klvae_idea400_ld256,t2m,256,25641,1000000,189.5452,130.5229,21.0412
klvae_xmoI400_ld256,t2m,256,989,1000000,24.8622,15.8842,5.4940
klvae_hml3dI400_ld256,t2m,256,8264,1000000,14.2945,8.9213,3.9067
klvae_hml3dxmoI400_ld256,t2m,256,914,1000000,9.9846,6.1079,3.8103
