model,dataset,latent_dim,epochs,steps,MPJPE_mm,PA_MPJPE_mm,ACCL_mm_s2
klvae_t2m_ld64,idea400,64,6172,500000,27.0786,18.0268,7.8224
klvae_xmo_ld64,idea400,64,514,500000,28.1481,16.3632,8.1469
klvae_hml3dxmo_ld64,idea400,64,474,500000,20.5141,12.9160,7.9417
klvae_idea400_ld64,idea400,64,12820,500000,9.0826,6.0437,4.4918
klvae_xmoI400_ld64,idea400,64,494,500000,13.8008,8.4185,7.4682
klvae_hml3dI400_ld64,idea400,64,4132,500000,9.6399,6.0616,6.1428
klvae_hml3dxmoI400_ld64,idea400,64,457,500000,12.5595,8.3326,7.5229
klvae_t2m_ld64,t2m,64,6172,500000,12.8489,8.4705,4.0988
klvae_xmo_ld64,t2m,64,514,500000,33.7705,20.1853,6.3383
klvae_hml3dxmo_ld64,t2m,64,474,500000,14.4710,9.4175,5.0831
klvae_idea400_ld64,t2m,64,12820,500000,101.3128,83.3076,14.6197
klvae_xmoI400_ld64,t2m,64,494,500000,29.5313,18.3927,6.1265
klvae_hml3dI400_ld64,t2m,64,4132,500000,11.3545,7.8085,4.1254
klvae_hml3dxmoI400_ld64,t2m,64,457,500000,14.3723,9.5426,5.0149
,,,,,,,
klvae_t2m_ld256,idea400,256,6172,500000,22.5828,14.5812,7.4185
klvae_xmo_ld256,idea400,256,514,500000,25.5303,14.8324,7.6622
klvae_hml3dxmo_ld256,idea400,256,474,500000,18.2001,11.2100,7.2787
klvae_idea400_ld256,idea400,256,12820,500000,8.1224,5.1997,4.1622
klvae_xmoI400_ld256,idea400,256,494,500000,12.2504,7.8455,6.7674
klvae_hml3dI400_ld256,idea400,256,4132,500000,8.0728,5.1830,4.5393
klvae_hml3dxmoI400_ld256,idea400,256,457,500000,12.0980,7.4596,6.7835
klvae_t2m_ld256,t2m,256,6172,500000,10.2458,6.4325,3.6661
klvae_xmo_ld256,t2m,256,514,500000,31.3064,19.1867,6.1648
klvae_hml3dxmo_ld256,t2m,256,474,500000,12.3399,7.7138,4.4318
klvae_idea400_ld256,t2m,256,12820,500000,122.8538,86.1574,18.3944
klvae_xmoI400_ld256,t2m,256,494,500000,29.6881,18.0002,5.9179
klvae_hml3dI400_ld256,t2m,256,4132,500000,9.6549,6.4393,3.7554
klvae_hml3dxmoI400_ld256,t2m,256,457,500000,13.1613,8.3997,4.4655
